CC,Year,GDPpc
AUT,2000,29381.672832
AUT,2001,29708.48945
AUT,2002,31178.051444
AUT,2003,32158.459529
AUT,2004,33784.446804
AUT,2005,35024.557484
AUT,2006,37662.888035
AUT,2007,39437.038795
AUT,2008,41316.022642
AUT,2009,40927.556365
AUT,2010,42019.005887
AUT,2011,44469.209642
AUT,2012,46477.655075
AUT,2013,47936.677963
AUT,2014,48813.534409
AUT,2015,49942.056293
AUT,2016,52665.087457
AUT,2017,54188.360666
AUT,2018,56956.110562
AUT,2019,59716.251399
AUT,2020,57235.673886
BEL,2000,27790.064114
BEL,2001,28793.52095
BEL,2002,30282.254116
BEL,2003,30934.525167
BEL,2004,32063.379543
BEL,2005,33177.947339
BEL,2006,35256.775979
BEL,2007,36795.850249
BEL,2008,37883.233422
BEL,2009,37749.885736
BEL,2010,39837.995894
BEL,2011,40942.230717
BEL,2012,42290.858433
BEL,2013,43671.146878
BEL,2014,44929.532494
BEL,2015,46200.86629
BEL,2016,48597.487117
BEL,2017,50442.060625
BEL,2018,52530.381806
BEL,2019,55804.725289
BEL,2020,54652.164337
CZE,2000,16211.043497
CZE,2001,17611.358497
CZE,2002,18245.669005
CZE,2003,19524.399624
CZE,2004,20912.054683
CZE,2005,22045.99888
CZE,2006,23857.518264
CZE,2007,26224.942173
CZE,2008,27853.549898
CZE,2009,27635.956473
CZE,2010,27766.983552
CZE,2011,28999.754757
CZE,2012,29258.904853
CZE,2013,30828.526409
CZE,2014,32504.217576
CZE,2015,33909.309243
CZE,2016,36101.285601
CZE,2017,38842.896268
CZE,2018,41157.370409
CZE,2019,44223.295751
CZE,2020,42817.867499
DNK,2000,28672.330304
DNK,2001,29452.760705
DNK,2002,30639.953691
DNK,2003,30825.225589
DNK,2004,32948.16657
DNK,2005,34152.881663
DNK,2006,37333.84624
DNK,2007,39021.411928
DNK,2008,41282.995471
DNK,2009,40332.516629
DNK,2010,43006.150516
DNK,2011,44407.94207
DNK,2012,44808.549212
DNK,2013,46742.939663
DNK,2014,47905.477079
DNK,2015,49058.142344
DNK,2016,51967.020438
DNK,2017,55356.49009
DNK,2018,57479.350221
DNK,2019,59884.11738
DNK,2020,60768.060489
FIN,2000,26789.925656
FIN,2001,27801.065401
FIN,2002,28605.122922
FIN,2003,29053.042068
FIN,2004,31201.7603
FIN,2005,32051.762889
FIN,2006,34452.676186
FIN,2007,37843.270084
FIN,2008,40083.701943
FIN,2009,37972.457701
FIN,2010,38954.131777
FIN,2011,40916.647325
FIN,2012,40872.854802
FIN,2013,41492.918416
FIN,2014,41749.864733
FIN,2015,42490.211049
FIN,2016,44934.488245
FIN,2017,47570.270354
FIN,2018,49573.255773
FIN,2019,51811.599332
FIN,2020,52294.342491
FRA,2000,26099.7352
FRA,2001,27499.541566
FRA,2002,28528.156107
FRA,2003,28178.57676
FRA,2004,29065.215266
FRA,2005,30504.058784
FRA,2006,32472.263308
FRA,2007,34132.697684
FRA,2008,35102.870428
FRA,2009,34686.479663
FRA,2010,35910.195851
FRA,2011,37447.949543
FRA,2012,37684.198067
FRA,2013,39528.473644
FRA,2014,40144.059485
FRA,2015,40829.893311
FRA,2016,42855.944562
FRA,2017,44444.934559
FRA,2018,46336.933985
FRA,2019,50226.680167
FRA,2020,47982.359606
DEU,2000,27456.262771
DEU,2001,28663.895351
DEU,2002,29504.28924
DEU,2003,30270.992251
DEU,2004,31741.875731
DEU,2005,32236.740986
DEU,2006,34664.541909
DEU,2007,36863.113348
DEU,2008,38432.448211
DEU,2009,37465.456323
DEU,2010,39675.00238
DEU,2011,42541.513126
DEU,2012,43359.541048
DEU,2013,44993.667838
DEU,2014,47011.280402
DEU,2015,47609.557159
DEU,2016,50579.483717
DEU,2017,53071.478374
DEU,2018,55195.722049
DEU,2019,57411.520685
DEU,2020,56454.181109
GRC,2000,19519.978023
GRC,2001,20958.780315
GRC,2002,22615.957435
GRC,2003,23897.755346
GRC,2004,25460.561383
GRC,2005,25577.445437
GRC,2006,28547.218881
GRC,2007,29323.909492
GRC,2008,30855.935774
GRC,2009,30359.446595
GRC,2010,27911.57449
GRC,2011,25671.409119
GRC,2012,24911.130276
GRC,2013,25986.640698
GRC,2014,26625.159298
GRC,2015,26760.280798
GRC,2016,27511.803202
GRC,2017,28604.829152
GRC,2018,29617.518625
GRC,2019,31155.301081
GRC,2020,28349.491127
HUN,2000,11855.464682
HUN,2001,13210.457753
HUN,2002,14526.388251
HUN,2003,15479.026769
HUN,2004,16268.938786
HUN,2005,17108.340595
HUN,2006,18382.558594
HUN,2007,19096.705486
HUN,2008,20721.502411
HUN,2009,20722.886939
HUN,2010,21741.545922
HUN,2011,23029.447178
HUN,2012,23267.448393
HUN,2013,24547.980456
HUN,2014,25691.527335
HUN,2015,26798.854228
HUN,2016,27941.926751
HUN,2017,29496.163748
HUN,2018,31908.863431
HUN,2019,34645.565383
HUN,2020,34169.922355
IRL,2000,30218.776099
IRL,2001,32594.17983
IRL,2002,35222.81925
IRL,2003,36280.535976
IRL,2004,38761.427777
IRL,2005,40465.316509
IRL,2006,44268.552868
IRL,2007,46766.183807
IRL,2008,44105.364476
IRL,2009,41436.941843
IRL,2010,43211.902863
IRL,2011,45132.175891
IRL,2012,46304.784189
IRL,2013,47836.18565
IRL,2014,51296.92985
IRL,2015,69305.538798
IRL,2016,71505.746281
IRL,2017,78252.205616
IRL,2018,85034.728547
IRL,2019,89759.238887
IRL,2020,94646.640757
ITA,2000,27077.647701
ITA,2001,28036.302758
ITA,2002,28721.076279
ITA,2003,29154.663843
ITA,2004,29481.853691
ITA,2005,30028.488979
ITA,2006,32309.294219
ITA,2007,33960.788711
ITA,2008,35292.601856
ITA,2009,34335.925384
ITA,2010,34838.135774
ITA,2011,36203.328522
ITA,2012,36091.373957
ITA,2013,36267.925352
ITA,2014,36475.976061
ITA,2015,37206.331822
ITA,2016,40267.222623
ITA,2017,41951.466331
ITA,2018,43427.663143
ITA,2019,45799.741922
ITA,2020,43150.115981
NLD,2000,31875.989055
NLD,2001,33186.914167
NLD,2002,34447.053372
NLD,2003,34151.984046
NLD,2004,35809.49984
NLD,2005,37625.252435
NLD,2006,41011.393578
NLD,2007,43943.909747
NLD,2008,46419.042594
NLD,2009,44558.440255
NLD,2010,45042.666206
NLD,2011,46599.227659
NLD,2012,47271.968226
NLD,2013,49242.786711
NLD,2014,49233.230349
NLD,2015,50288.352815
NLD,2016,52289.404292
NLD,2017,55089.58143
NLD,2018,57825.399708
NLD,2019,60207.9957
NLD,2020,59821.266235
NOR,2000,36988.65878
NOR,2001,37827.470761
NOR,2002,38057.575494
NOR,2003,38683.295646
NOR,2004,42671.129526
NOR,2005,47969.885364
NOR,2006,54362.236354
NOR,2007,56177.479845
NOR,2008,62075.513764
NOR,2009,55617.679797
NOR,2010,58229.713025
NOR,2011,62461.20278
NOR,2012,65768.753269
NOR,2013,67372.928181
NOR,2014,66335.459647
NOR,2015,60721.583813
NOR,2016,59263.430471
NOR,2017,64589.163172
NOR,2018,70252.735449
NOR,2019,69915.01766
NOR,2020,65135.920669
POL,2000,10674.914757
POL,2001,11120.999556
POL,2002,11803.761357
POL,2003,12292.161883
POL,2004,13354.532874
POL,2005,13898.413011
POL,2006,15155.041822
POL,2007,16806.970491
POL,2008,18308.038986
POL,2009,19074.444446
POL,2010,20632.568496
POL,2011,22386.227115
POL,2012,23300.922905
POL,2013,24028.186721
POL,2014,25005.655694
POL,2015,26495.814917
POL,2016,27830.927735
POL,2017,29609.446369
POL,2018,31662.210541
POL,2019,34592.873746
POL,2020,34896.8226
PRT,2000,18880.30375
PRT,2001,19528.689533
PRT,2002,20356.721555
PRT,2003,20852.18351
PRT,2004,21477.874489
PRT,2005,22725.351606
PRT,2006,24681.096076
PRT,2007,25736.276906
PRT,2008,26665.771577
PRT,2009,26459.287172
PRT,2010,27260.554162
PRT,2011,26769.42769
PRT,2012,26438.140472
PRT,2013,27936.006299
PRT,2014,28742.313125
PRT,2015,29660.845901
PRT,2016,31607.610185
PRT,2017,33044.70015
PRT,2018,34928.61899
PRT,2019,37299.182306
PRT,2020,34955.61156
SVK,2000,11353.50553
SVK,2001,12386.833868
SVK,2002,13307.878099
SVK,2003,14166.120035
SVK,2004,15197.889535
SVK,2005,16595.261602
SVK,2006,18850.138473
SVK,2007,21138.750634
SVK,2008,23608.977522
SVK,2009,22947.25335
SVK,2010,25221.414441
SVK,2011,26260.184756
SVK,2012,27000.730262
SVK,2013,28021.090416
SVK,2014,29029.587681
SVK,2015,30062.179649
SVK,2016,29737.53009
SVK,2017,30147.015977
SVK,2018,31374.187996
SVK,2019,33459.324263
SVK,2020,32912.709886
ESP,2000,21595.594901
ESP,2001,23001.078439
ESP,2002,24376.32871
ESP,2003,25042.28983
ESP,2004,26182.039287
ESP,2005,27600.937175
ESP,2006,30743.713954
ESP,2007,32467.040986
ESP,2008,33242.245427
ESP,2009,32089.527557
ESP,2010,31690.887692
ESP,2011,31872.363088
ESP,2012,31724.785352
ESP,2013,32463.123679
ESP,2014,33558.976673
ESP,2015,34945.481614
ESP,2016,37333.06491
ESP,2017,39601.479631
ESP,2018,40776.768298
ESP,2019,43135.741954
ESP,2020,38030.728528
SWE,2000,29624.021363
SWE,2001,29933.209602
SWE,2002,30926.361002
SWE,2003,31816.571723
SWE,2004,33858.921497
SWE,2005,34244.359285
SWE,2006,37727.725135
SWE,2007,40910.324397
SWE,2008,42158.296425
SWE,2009,40279.878892
SWE,2010,42221.760198
SWE,2011,44608.584887
SWE,2012,45432.431014
SWE,2013,46312.397402
SWE,2014,47184.673173
SWE,2015,49103.131953
SWE,2016,50430.25079
SWE,2017,51947.95578
SWE,2018,53521.635778
SWE,2019,56404.297122
SWE,2020,56140.551353
CHE,2000,36351.765418
CHE,2001,37514.754782
CHE,2002,38410.604089
CHE,2003,38448.713551
CHE,2004,39884.900157
CHE,2005,41244.643767
CHE,2006,45963.055317
CHE,2007,50584.577372
CHE,2008,53498.013101
CHE,2009,52732.723576
CHE,2010,54349.191874
CHE,2011,57493.56602
CHE,2012,59440.934085
CHE,2013,61656.490978
CHE,2014,63417.043081
CHE,2015,65265.050827
CHE,2016,67350.735189
CHE,2017,68193.502958
CHE,2018,70688.84449
CHE,2019,72668.72555
CHE,2020,71010.450577
TUR,2000,9476.598346
TUR,2001,9143.328196
TUR,2002,9279.072677
TUR,2003,9597.936618
TUR,2004,10884.319337
TUR,2005,11910.606724
TUR,2006,13640.767727
TUR,2007,14864.955058
TUR,2008,16038.231645
TUR,2009,15442.774202
TUR,2010,17345.833613
TUR,2011,19590.858369
TUR,2012,20627.440729
TUR,2013,22373.136543
TUR,2014,24104.984583
TUR,2015,25855.912681
TUR,2016,26695.909373
TUR,2017,28193.061398
TUR,2018,28281.473275
TUR,2019,28011.322789
TUR,2020,27973.899303
GBR,2000,26534.517918
GBR,2001,27915.785918
GBR,2002,29091.26654
GBR,2003,30322.775119
GBR,2004,32075.022998
GBR,2005,32719.743558
GBR,2006,34744.126142
GBR,2007,35521.72105
GBR,2008,36734.676772
GBR,2009,35033.288916
GBR,2010,36495.793496
GBR,2011,37208.971903
GBR,2012,38340.215681
GBR,2013,39968.102283
GBR,2014,41281.542063
GBR,2015,42500.909156
GBR,2016,44057.689096
GBR,2017,46061.354379
GBR,2018,47107.7092
GBR,2019,49220.202708
GBR,2020,45756.801675
RUS,2000,7323.44018
RUS,2001,7898.522928
RUS,2002,8623.997299
RUS,2003,9940.232555
RUS,2004,10984.496611
RUS,2005,12698.299229
RUS,2006,16017.124233
RUS,2007,17881.758587
RUS,2008,21657.589062
RUS,2009,20826.597968
RUS,2010,22008.299275
RUS,2011,22798.673917
RUS,2012,24303.491049
RUS,2013,26073.873547
RUS,2014,25761.66151
RUS,2015,24085.312853
RUS,2016,24128.081806
RUS,2017,25926.431403
RUS,2018,28821.242897
RUS,2019,29967.119348
RUS,2020,29819.046969
SVN,2000,18000.439484
SVN,2001,18952.865227
SVN,2002,20236.432071
SVN,2003,21107.674871
SVN,2004,22758.123247
SVN,2005,23848.602419
SVN,2006,25706.215605
SVN,2007,27563.4752
SVN,2008,29594.665839
SVN,2009,27511.166476
SVN,2010,27822.232624
SVN,2011,28931.423641
SVN,2012,29048.325999
SVN,2013,29979.618841
SVN,2014,30872.72888
SVN,2015,31631.838376
SVN,2016,33942.76789
SVN,2017,36517.579273
SVN,2018,39008.297051
SVN,2019,42118.699287
SVN,2020,40885.50612
